Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHL,Chile,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,3.08,..,..,..,..,..,..,..,..,..,3.08,..,..,..,..,..,..,..,..,..,..,..
CHN,China,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,1.38,..,..,..,..,..,..,..,..,..,1.38,..,..,..,..,..,..,..,..,..,..,..
CIV,Cote d'Ivoire,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0.19,..,..,..,..,..,..,..,..,..,0.19,..,..,..,..,..,..,..,..,..,..,..
CMR,Cameroon,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0.08,..,..,..,..,..,..,..,..,..,0.08,..,..,..,..,..,..,..,..,..,..,..
COG,"Congo, Rep.",AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0.05,..,..,..,..,..,..,..,..,..,0.05,..,..,..,..,..,..,..,..,..,..,..
COK,Cook Islands,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,87.87,..,..,..,..,..,..,..,..,..,87.87,..,..,..,..,..,..,..,..,..,..,..
COL,Colombia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0.94,..,..,..,..,..,..,..,..,..,0.94,..,..,..,..,..,..,..,..,..,..,..
COM,Comoros,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,13.46,..,..,..,..,..,..,..,..,..,13.46,..,..,..,..,..,..,..,..,..,..,..
CPV,Cape Verde,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,14.52,..,..,..,..,..,..,..,..,..,14.52,..,..,..,..,..,..,..,..,..,..,..
CRI,Costa Rica,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,2.12,..,..,..,..,..,..,..,..,..,2.12,..,..,..,..,..,..,..,..,..,..,..
CUB,Cuba,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,12.67,..,..,..,..,..,..,..,..,..,12.67,..,..,..,..,..,..,..,..,..,..,..
CUW,Curacao,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CYM,Cayman Islands,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,60.28,..,..,..,..,..,..,..,..,..,60.28,..,..,..,..,..,..,..,..,..,..,..
CYP,Cyprus,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,6.42,..,..,..,..,..,..,..,..,..,6.42,..,..,..,..,..,..,..,..,..,..,..
CZE,Czech Republic,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
