year,state,month,number,date
2012,Distrito Federal,nov,0,1/1/12
2013,Distrito Federal,nov,0,1/1/13
2014,Distrito Federal,nov,0,1/1/14
2015,Distrito Federal,nov,3,1/1/15
2016,Distrito Federal,nov,1,1/1/16
2017,Distrito Federal,nov,0,1/1/17
1998,Distrito Federal,dec,0,1/1/98
1999,Distrito Federal,dec,0,1/1/99
2000,Distrito Federal,dec,0,1/1/00
2001,Distrito Federal,dec,1,1/1/01
2002,Distrito Federal,dec,1,1/1/02
2003,Distrito Federal,dec,0,1/1/03
2004,Distrito Federal,dec,0,1/1/04
2005,Distrito Federal,dec,0,1/1/05
2006,Distrito Federal,dec,0,1/1/06
2007,Distrito Federal,dec,0,1/1/07
2008,Distrito Federal,dec,0,1/1/08
2009,Distrito Federal,dec,0,1/1/09
2010,Distrito Federal,dec,1,1/1/10
2011,Distrito Federal,dec,0,1/1/11
2012,Distrito Federal,dec,0,1/1/12
2013,Distrito Federal,dec,2,1/1/13
2014,Distrito Federal,dec,0,1/1/14
2015,Distrito Federal,dec,0,1/1/15
2016,Distrito Federal,dec,0,1/1/16
1998,Espirito Santo,jan,0,1/1/98
1999,Espirito Santo,jan,33,1/1/99
2000,Espirito Santo,jan,5,1/1/00
2001,Espirito Santo,jan,1,1/1/01
2002,Espirito Santo,jan,2,1/1/02
2003,Espirito Santo,jan,4,1/1/03
2004,Espirito Santo,jan,1,1/1/04
2005,Espirito Santo,jan,4,1/1/05
2006,Espirito Santo,jan,13,1/1/06
2007,Espirito Santo,jan,0,1/1/07
2008,Espirito Santo,jan,12,1/1/08
2009,Espirito Santo,jan,4,1/1/09
2010,Espirito Santo,jan,52,1/1/10
2011,Espirito Santo,jan,3,1/1/11
2012,Espirito Santo,jan,1,1/1/12
2013,Espirito Santo,jan,10,1/1/13
2014,Espirito Santo,jan,11,1/1/14
2015,Espirito Santo,jan,76,1/1/15
2016,Espirito Santo,jan,43,1/1/16
2017,Espirito Santo,jan,13,1/1/17
1998,Espirito Santo,feb,0,1/1/98
1999,Espirito Santo,feb,10,1/1/99
2000,Espirito Santo,feb,5,1/1/00
2001,Espirito Santo,feb,5,1/1/01
2002,Espirito Santo,feb,4,1/1/02
2003,Espirito Santo,feb,11,1/1/03
2004,Espirito Santo,feb,5,1/1/04
2005,Espirito Santo,feb,1,1/1/05
2006,Espirito Santo,feb,45,1/1/06
2007,Espirito Santo,feb,3,1/1/07
2008,Espirito Santo,feb,20,1/1/08
2009,Espirito Santo,feb,12,1/1/09
2010,Espirito Santo,feb,15,1/1/10
2011,Espirito Santo,feb,42,1/1/11
2012,Espirito Santo,feb,25,1/1/12
2013,Espirito Santo,feb,15,1/1/13
2014,Espirito Santo,feb,17,1/1/14
2015,Espirito Santo,feb,60,1/1/15
2016,Espirito Santo,feb,24,1/1/16
2017,Espirito Santo,feb,8,1/1/17
1998,Espirito Santo,mar,0,1/1/98
1999,Espirito Santo,mar,8,1/1/99
2000,Espirito Santo,mar,1,1/1/00
2001,Espirito Santo,mar,2,1/1/01
2002,Espirito Santo,mar,4,1/1/02
2003,Espirito Santo,mar,28,1/1/03
2004,Espirito Santo,mar,3,1/1/04
2005,Espirito Santo,mar,3,1/1/05
2006,Espirito Santo,mar,14,1/1/06
2007,Espirito Santo,mar,9,1/1/07
2008,Espirito Santo,mar,5,1/1/08
2009,Espirito Santo,mar,11,1/1/09
2010,Espirito Santo,mar,3,1/1/10
2011,Espirito Santo,mar,5,1/1/11
2012,Espirito Santo,mar,35,1/1/12
2013,Espirito Santo,mar,13,1/1/13
2014,Espirito Santo,mar,15,1/1/14
2015,Espirito Santo,mar,25,1/1/15
2016,Espirito Santo,mar,107,1/1/16
2017,Espirito Santo,mar,9,1/1/17
1998,Espirito Santo,apr,0,1/1/98
1999,Espirito Santo,apr,2,1/1/99
2000,Espirito Santo,apr,3,1/1/00
2001,Espirito Santo,apr,2,1/1/01
2002,Espirito Santo,apr,2,1/1/02
2003,Espirito Santo,apr,22,1/1/03
2004,Espirito Santo,apr,0,1/1/04
2005,Espirito Santo,apr,4,1/1/05
2006,Espirito Santo,apr,1,1/1/06
2007,Espirito Santo,apr,2,1/1/07
2008,Espirito Santo,apr,8,1/1/08
2009,Espirito Santo,apr,8,1/1/09
2010,Espirito Santo,apr,7,1/1/10
2011,Espirito Santo,apr,3,1/1/11
2012,Espirito Santo,apr,74,1/1/12
2013,Espirito Santo,apr,16,1/1/13
2014,Espirito Santo,apr,15,1/1/14
2015,Espirito Santo,apr,33,1/1/15
2016,Espirito Santo,apr,57,1/1/16
2017,Espirito Santo,apr,7,1/1/17
1998,Espirito Santo,may,0,1/1/98
1999,Espirito Santo,may,16,1/1/99
2000,Espirito Santo,may,2,1/1/00
2001,Espirito Santo,may,8,1/1/01
2002,Espirito Santo,may,5,1/1/02
2003,Espirito Santo,may,1,1/1/03
2004,Espirito Santo,may,0,1/1/04
2005,Espirito Santo,may,5,1/1/05
2006,Espirito Santo,may,0,1/1/06
2007,Espirito Santo,may,1,1/1/07
2008,Espirito Santo,may,2,1/1/08
2009,Espirito Santo,may,7,1/1/09
2010,Espirito Santo,may,3,1/1/10
2011,Espirito Santo,may,2,1/1/11
2012,Espirito Santo,may,20,1/1/12
2013,Espirito Santo,may,14,1/1/13
2014,Espirito Santo,may,18,1/1/14
2015,Espirito Santo,may,17,1/1/15
2016,Espirito Santo,may,48,1/1/16
2017,Espirito Santo,may,10,1/1/17
1998,Espirito Santo,jun,6,1/1/98
1999,Espirito Santo,jun,6,1/1/99
2000,Espirito Santo,jun,9,1/1/00
2001,Espirito Santo,jun,9,1/1/01
2002,Espirito Santo,jun,18,1/1/02
2003,Espirito Santo,jun,19,1/1/03
2004,Espirito Santo,jun,3,1/1/04
2005,Espirito Santo,jun,8,1/1/05
2006,Espirito Santo,jun,5,1/1/06
2007,Espirito Santo,jun,4,1/1/07
2008,Espirito Santo,jun,4,1/1/08
2009,Espirito Santo,jun,12,1/1/09
2010,Espirito Santo,jun,3,1/1/10
2011,Espirito Santo,jun,7,1/1/11
2012,Espirito Santo,jun,15,1/1/12
2013,Espirito Santo,jun,22,1/1/13
2014,Espirito Santo,jun,9,1/1/14
2015,Espirito Santo,jun,18,1/1/15
2016,Espirito Santo,jun,49,1/1/16
2017,Espirito Santo,jun,37,1/1/17
1998,Espirito Santo,jul,37,1/1/98
1999,Espirito Santo,jul,9,1/1/99
2000,Espirito Santo,jul,16,1/1/00
2001,Espirito Santo,jul,12,1/1/01
2002,Espirito Santo,jul,9,1/1/02
2003,Espirito Santo,jul,27,1/1/03
2004,Espirito Santo,jul,4,1/1/04
2005,Espirito Santo,jul,9,1/1/05
2006,Espirito Santo,jul,11,1/1/06
2007,Espirito Santo,jul,13,1/1/07
2008,Espirito Santo,jul,5,1/1/08
2009,Espirito Santo,jul,25,1/1/09
2010,Espirito Santo,jul,5,1/1/10
2011,Espirito Santo,jul,18,1/1/11
2012,Espirito Santo,jul,35,1/1/12
2013,Espirito Santo,jul,20,1/1/13
2014,Espirito Santo,jul,17,1/1/14
2015,Espirito Santo,jul,30,1/1/15
2016,Espirito Santo,jul,42,1/1/16
2017,Espirito Santo,jul,3,1/1/17
1998,Espirito Santo,aug,38,1/1/98
1999,Espirito Santo,aug,60,1/1/99
2000,Espirito Santo,aug,26,1/1/00
2001,Espirito Santo,aug,30,1/1/01
2002,Espirito Santo,aug,60,1/1/02
2003,Espirito Santo,aug,118,1/1/03
2004,Espirito Santo,aug,12,1/1/04
2005,Espirito Santo,aug,12,1/1/05
2006,Espirito Santo,aug,29,1/1/06
2007,Espirito Santo,aug,82,1/1/07
2008,Espirito Santo,aug,13,1/1/08
2009,Espirito Santo,aug,17,1/1/09
2010,Espirito Santo,aug,39,1/1/10
2011,Espirito Santo,aug,93,1/1/11
2012,Espirito Santo,aug,12,1/1/12
2013,Espirito Santo,aug,53,1/1/13
2014,Espirito Santo,aug,47,1/1/14
2015,Espirito Santo,aug,35,1/1/15
2016,Espirito Santo,aug,78,1/1/16
2017,Espirito Santo,aug,30,1/1/17
1998,Espirito Santo,sep,108,1/1/98
1999,Espirito Santo,sep,64,1/1/99
2000,Espirito Santo,sep,14,1/1/00
2001,Espirito Santo,sep,38,1/1/01
2002,Espirito Santo,sep,46,1/1/02
2003,Espirito Santo,sep,252,1/1/03
2004,Espirito Santo,sep,47,1/1/04
2005,Espirito Santo,sep,8,1/1/05
2006,Espirito Santo,sep,87,1/1/06
2007,Espirito Santo,sep,63,1/1/07
2008,Espirito Santo,sep,78,1/1/08
2009,Espirito Santo,sep,57,1/1/09
2010,Espirito Santo,sep,53,1/1/10
2011,Espirito Santo,sep,108,1/1/11
2012,Espirito Santo,sep,48,1/1/12
2013,Espirito Santo,sep,30,1/1/13
2014,Espirito Santo,sep,61,1/1/14
2015,Espirito Santo,sep,228,1/1/15
2016,Espirito Santo,sep,128,1/1/16
2017,Espirito Santo,sep,58,1/1/17
1998,Espirito Santo,oct,20,1/1/98
1999,Espirito Santo,oct,23,1/1/99
2000,Espirito Santo,oct,88,1/1/00
2001,Espirito Santo,oct,19,1/1/01
2002,Espirito Santo,oct,113,1/1/02
2003,Espirito Santo,oct,159,1/1/03
2004,Espirito Santo,oct,48,1/1/04
2005,Espirito Santo,oct,62,1/1/05
2006,Espirito Santo,oct,10,1/1/06
2007,Espirito Santo,oct,79,1/1/07
2008,Espirito Santo,oct,100,1/1/08
2009,Espirito Santo,oct,13,1/1/09
2010,Espirito Santo,oct,32,1/1/10
2011,Espirito Santo,oct,38,1/1/11
2012,Espirito Santo,oct,62,1/1/12
2013,Espirito Santo,oct,37,1/1/13
2014,Espirito Santo,oct,89,1/1/14
2015,Espirito Santo,oct,307,1/1/15
2016,Espirito Santo,oct,58,1/1/16
2017,Espirito Santo,oct,56,1/1/17
1998,Espirito Santo,nov,4,1/1/98
1999,Espirito Santo,nov,9,1/1/99
2000,Espirito Santo,nov,3,1/1/00
2001,Espirito Santo,nov,3,1/1/01
2002,Espirito Santo,nov,22,1/1/02
2003,Espirito Santo,nov,49,1/1/03
2004,Espirito Santo,nov,42,1/1/04
2005,Espirito Santo,nov,0,1/1/05
2006,Espirito Santo,nov,0,1/1/06
2007,Espirito Santo,nov,112,1/1/07
2008,Espirito Santo,nov,3,1/1/08
2009,Espirito Santo,nov,18,1/1/09
2010,Espirito Santo,nov,3,1/1/10
2011,Espirito Santo,nov,6,1/1/11
2012,Espirito Santo,nov,7,1/1/12
2013,Espirito Santo,nov,11,1/1/13
2014,Espirito Santo,nov,20,1/1/14
2015,Espirito Santo,nov,141,1/1/15
2016,Espirito Santo,nov,8,1/1/16
2017,Espirito Santo,nov,3,1/1/17
1998,Espirito Santo,dec,5,1/1/98
1999,Espirito Santo,dec,0,1/1/99
2000,Espirito Santo,dec,3,1/1/00
2001,Espirito Santo,dec,1,1/1/01
2002,Espirito Santo,dec,12,1/1/02
2003,Espirito Santo,dec,18,1/1/03
2004,Espirito Santo,dec,9,1/1/04
2005,Espirito Santo,dec,5,1/1/05
2006,Espirito Santo,dec,0,1/1/06
2007,Espirito Santo,dec,14,1/1/07
2008,Espirito Santo,dec,1,1/1/08
2009,Espirito Santo,dec,32,1/1/09
2010,Espirito Santo,dec,10,1/1/10
2011,Espirito Santo,dec,1,1/1/11
2012,Espirito Santo,dec,18,1/1/12
2013,Espirito Santo,dec,9,1/1/13
2014,Espirito Santo,dec,28,1/1/14
2015,Espirito Santo,dec,61,1/1/15
2016,Espirito Santo,dec,12,1/1/16
1998,Goias,jan,0,1/1/98
1999,Goias,jan,14,1/1/99
2000,Goias,jan,10,1/1/00
2001,Goias,jan,29,1/1/01
2002,Goias,jan,12,1/1/02
2003,Goias,jan,14,1/1/03
2004,Goias,jan,10,1/1/04
2005,Goias,jan,27,1/1/05
2006,Goias,jan,85,1/1/06
2007,Goias,jan,28,1/1/07
2008,Goias,jan,23,1/1/08
2009,Goias,jan,30,1/1/09
2010,Goias,jan,59,1/1/10
2011,Goias,jan,39,1/1/11
2012,Goias,jan,21,1/1/12
2013,Goias,jan,33,1/1/13
2014,Goias,jan,80,1/1/14
2015,Goias,jan,118,1/1/15
2016,Goias,jan,52,1/1/16
2017,Goias,jan,53,1/1/17
1998,Goias,feb,0,1/1/98
1999,Goias,feb,334,1/1/99
2000,Goias,feb,11,1/1/00
2001,Goias,feb,9,1/1/01
2002,Goias,feb,9,1/1/02
2003,Goias,feb,47,1/1/03
2004,Goias,feb,11,1/1/04
2005,Goias,feb,84,1/1/05
2006,Goias,feb,21,1/1/06
2007,Goias,feb,13,1/1/07
2008,Goias,feb,25,1/1/08
2009,Goias,feb,29,1/1/09
2010,Goias,feb,86,1/1/10
2011,Goias,feb,45,1/1/11
2012,Goias,feb,37,1/1/12
2013,Goias,feb,86,1/1/13
2014,Goias,feb,44,1/1/14
2015,Goias,feb,53,1/1/15
2016,Goias,feb,117,1/1/16
2017,Goias,feb,75,1/1/17
1998,Goias,mar,0,1/1/98
1999,Goias,mar,1,1/1/99
2000,Goias,mar,4,1/1/00
2001,Goias,mar,10,1/1/01
2002,Goias,mar,48,1/1/02
2003,Goias,mar,29,1/1/03
2004,Goias,mar,36,1/1/04
2005,Goias,mar,36,1/1/05
2006,Goias,mar,29,1/1/06
2007,Goias,mar,49,1/1/07
2008,Goias,mar,20,1/1/08
2009,Goias,mar,32,1/1/09
2010,Goias,mar,65,1/1/10
2011,Goias,mar,19,1/1/11
2012,Goias,mar,57,1/1/12
2013,Goias,mar,79,1/1/13
2014,Goias,mar,80,1/1/14
2015,Goias,mar,76,1/1/15
2016,Goias,mar,136,1/1/16
2017,Goias,mar,115,1/1/17
1998,Goias,apr,0,1/1/98
1999,Goias,apr,25,1/1/99
2000,Goias,apr,16,1/1/00
2001,Goias,apr,49,1/1/01
2002,Goias,apr,78,1/1/02
2003,Goias,apr,87,1/1/03
2004,Goias,apr,32,1/1/04
2005,Goias,apr,55,1/1/05
2006,Goias,apr,22,1/1/06
2007,Goias,apr,17,1/1/07
2008,Goias,apr,36,1/1/08
2009,Goias,apr,11,1/1/09
2010,Goias,apr,105,1/1/10
2011,Goias,apr,71,1/1/11
2012,Goias,apr,89,1/1/12
2013,Goias,apr,42,1/1/13
2014,Goias,apr,138,1/1/14
2015,Goias,apr,89,1/1/15
2016,Goias,apr,167,1/1/16
2017,Goias,apr,60,1/1/17
1998,Goias,may,0,1/1/98
1999,Goias,may,99,1/1/99
2000,Goias,may,58,1/1/00
2001,Goias,may,85,1/1/01
2002,Goias,may,171,1/1/02
2003,Goias,may,57,1/1/03
2004,Goias,may,157,1/1/04
2005,Goias,may,164,1/1/05
2006,Goias,may,33,1/1/06
2007,Goias,may,94,1/1/07
2008,Goias,may,41,1/1/08
2009,Goias,may,104,1/1/09
2010,Goias,may,239,1/1/10
2011,Goias,may,136,1/1/11
2012,Goias,may,103,1/1/12
2013,Goias,may,150,1/1/13
2014,Goias,may,210,1/1/14
2015,Goias,may,129,1/1/15
2016,Goias,may,233,1/1/16
2017,Goias,may,135,1/1/17
1998,Goias,jun,172,1/1/98
1999,Goias,jun,250,1/1/99
2000,Goias,jun,222,1/1/00
2001,Goias,jun,212,1/1/01
2002,Goias,jun,302,1/1/02
2003,Goias,jun,321,1/1/03
2004,Goias,jun,422,1/1/04
2005,Goias,jun,189,1/1/05
2006,Goias,jun,70,1/1/06
2007,Goias,jun,186,1/1/07
2008,Goias,jun,55,1/1/08
2009,Goias,jun,179,1/1/09
2010,Goias,jun,278,1/1/10
2011,Goias,jun,314,1/1/11
2012,Goias,jun,245,1/1/12
2013,Goias,jun,192,1/1/13
2014,Goias,jun,318,1/1/14
2015,Goias,jun,277,1/1/15
2016,Goias,jun,289,1/1/16
2017,Goias,jun,442,1/1/17
1998,Goias,jul,512,1/1/98
1999,Goias,jul,311,1/1/99
2000,Goias,jul,332,1/1/00
2001,Goias,jul,371,1/1/01
2002,Goias,jul,686,1/1/02
2003,Goias,jul,322,1/1/03
2004,Goias,jul,778,1/1/04
2005,Goias,jul,363,1/1/05
2006,Goias,jul,169,1/1/06
2007,Goias,jul,399,1/1/07
2008,Goias,jul,193,1/1/08
2009,Goias,jul,470,1/1/09
2010,Goias,jul,941,1/1/10
2011,Goias,jul,607,1/1/11
2012,Goias,jul,564,1/1/12
2013,Goias,jul,350,1/1/13
2014,Goias,jul,446,1/1/14
2015,Goias,jul,347,1/1/15
2016,Goias,jul,837,1/1/16
2017,Goias,jul,577,1/1/17
1998,Goias,aug,2.218,1/1/98
1999,Goias,aug,1.198,1/1/99
2000,Goias,aug,925,1/1/00
2001,Goias,aug,787,1/1/01
2002,Goias,aug,1.428,1/1/02
2003,Goias,aug,902,1/1/03
2004,Goias,aug,1.498,1/1/04
2005,Goias,aug,639,1/1/05
2006,Goias,aug,588,1/1/06
2007,Goias,aug,2.382,1/1/07
2008,Goias,aug,568,1/1/08
2009,Goias,aug,647,1/1/09
2010,Goias,aug,2.914,1/1/10
2011,Goias,aug,1.613,1/1/11
2012,Goias,aug,912,1/1/12
2013,Goias,aug,488,1/1/13
2014,Goias,aug,1.255,1/1/14
2015,Goias,aug,943,1/1/15
2016,Goias,aug,1.032,1/1/16
2017,Goias,aug,1.492,1/1/17
1998,Goias,sep,2.867,1/1/98
1999,Goias,sep,1.898,1/1/99
2000,Goias,sep,1.293,1/1/00
2001,Goias,sep,1.863,1/1/01
2002,Goias,sep,3.52,1/1/02
2003,Goias,sep,1.662,1/1/03
2004,Goias,sep,2.965,1/1/04
2005,Goias,sep,1.341,1/1/05
2006,Goias,sep,1.463,1/1/06
2007,Goias,sep,3.745,1/1/07
2008,Goias,sep,1.255,1/1/08
2009,Goias,sep,685,1/1/09
2010,Goias,sep,5.075,1/1/10
2011,Goias,sep,2.259,1/1/11
2012,Goias,sep,2.452,1/1/12
2013,Goias,sep,684,1/1/13
2014,Goias,sep,1.687,1/1/14
2015,Goias,sep,2.296,1/1/15
2016,Goias,sep,1.703,1/1/16
2017,Goias,sep,3.238,1/1/17
1998,Goias,oct,1.034,1/1/98
1999,Goias,oct,743,1/1/99
2000,Goias,oct,905,1/1/00
2001,Goias,oct,479,1/1/01
2002,Goias,oct,1.367,1/1/02
2003,Goias,oct,1.183,1/1/03
2004,Goias,oct,1.275,1/1/04
2005,Goias,oct,1.717,1/1/05
2006,Goias,oct,178,1/1/06
2007,Goias,oct,1.195,1/1/07
2008,Goias,oct,1.231,1/1/08
2009,Goias,oct,367,1/1/09
2010,Goias,oct,1.227,1/1/10
2011,Goias,oct,476,1/1/11
2012,Goias,oct,1.524,1/1/12
2013,Goias,oct,606,1/1/13
2014,Goias,oct,1.947,1/1/14
2015,Goias,oct,1.807,1/1/15
2016,Goias,oct,522,1/1/16
2017,Goias,oct,2.401,1/1/17
1998,Goias,nov,47,1/1/98
1999,Goias,nov,110,1/1/99
2000,Goias,nov,26,1/1/00
2001,Goias,nov,15,1/1/01
2002,Goias,nov,192,1/1/02
2003,Goias,nov,168,1/1/03
2004,Goias,nov,291,1/1/04
2005,Goias,nov,144,1/1/05
2006,Goias,nov,91,1/1/06
2007,Goias,nov,79,1/1/07
2008,Goias,nov,90,1/1/08
2009,Goias,nov,89,1/1/09
2010,Goias,nov,67,1/1/10
2011,Goias,nov,59,1/1/11
2012,Goias,nov,57,1/1/12
2013,Goias,nov,183,1/1/13
2014,Goias,nov,181,1/1/14
2015,Goias,nov,547,1/1/15
2016,Goias,nov,123,1/1/16
2017,Goias,nov,117,1/1/17
1998,Goias,dec,13,1/1/98
1999,Goias,dec,20,1/1/99
2000,Goias,dec,6,1/1/00
2001,Goias,dec,18,1/1/01
2002,Goias,dec,115,1/1/02
2003,Goias,dec,129,1/1/03
2004,Goias,dec,56,1/1/04
2005,Goias,dec,5,1/1/05
2006,Goias,dec,7,1/1/06
2007,Goias,dec,16,1/1/07
2008,Goias,dec,6,1/1/08
2009,Goias,dec,39,1/1/09
2010,Goias,dec,48,1/1/10
2011,Goias,dec,39,1/1/11
2012,Goias,dec,93,1/1/12
2013,Goias,dec,86,1/1/13
2014,Goias,dec,68,1/1/14
2015,Goias,dec,179,1/1/15
2016,Goias,dec,64,1/1/16
1998,Maranhao,jan,0,1/1/98
1999,Maranhao,jan,54,1/1/99
2000,Maranhao,jan,19,1/1/00
2001,Maranhao,jan,29,1/1/01
2002,Maranhao,jan,48,1/1/02
2003,Maranhao,jan,436,1/1/03
2004,Maranhao,jan,241,1/1/04
2005,Maranhao,jan,450,1/1/05
2006,Maranhao,jan,221,1/1/06
2007,Maranhao,jan,428,1/1/07
2008,Maranhao,jan,121,1/1/08
2009,Maranhao,jan,240,1/1/09
2010,Maranhao,jan,319,1/1/10
2011,Maranhao,jan,124,1/1/11
2012,Maranhao,jan,326,1/1/12
2013,Maranhao,jan,209,1/1/13
2014,Maranhao,jan,195,1/1/14
2015,Maranhao,jan,494,1/1/15
2016,Maranhao,jan,412,1/1/16
2017,Maranhao,jan,187,1/1/17
1998,Maranhao,feb,0,1/1/98
1999,Maranhao,feb,6,1/1/99
2000,Maranhao,feb,11,1/1/00
2001,Maranhao,feb,1,1/1/01
2002,Maranhao,feb,116,1/1/02
2003,Maranhao,feb,11,1/1/03
2004,Maranhao,feb,22,1/1/04
2005,Maranhao,feb,56,1/1/05
2006,Maranhao,feb,22,1/1/06
2007,Maranhao,feb,13,1/1/07
2008,Maranhao,feb,45,1/1/08
2009,Maranhao,feb,20,1/1/09
2010,Maranhao,feb,93,1/1/10
2011,Maranhao,feb,9,1/1/11
2012,Maranhao,feb,46,1/1/12
2013,Maranhao,feb,62,1/1/13
2014,Maranhao,feb,29,1/1/14
2015,Maranhao,feb,95,1/1/15
2016,Maranhao,feb,318,1/1/16
2017,Maranhao,feb,47,1/1/17
1998,Maranhao,mar,0,1/1/98
1999,Maranhao,mar,17,1/1/99
2000,Maranhao,mar,6,1/1/00
2001,Maranhao,mar,0,1/1/01
2002,Maranhao,mar,16,1/1/02
2003,Maranhao,mar,16,1/1/03
2004,Maranhao,mar,18,1/1/04
2005,Maranhao,mar,9,1/1/05
2006,Maranhao,mar,14,1/1/06
2007,Maranhao,mar,52,1/1/07
2008,Maranhao,mar,4,1/1/08
2009,Maranhao,mar,33,1/1/09
2010,Maranhao,mar,82,1/1/10
2011,Maranhao,mar,22,1/1/11
2012,Maranhao,mar,49,1/1/12
2013,Maranhao,mar,30,1/1/13
2014,Maranhao,mar,59,1/1/14
2015,Maranhao,mar,53,1/1/15
2016,Maranhao,mar,113,1/1/16
2017,Maranhao,mar,32,1/1/17
1998,Maranhao,apr,0,1/1/98
1999,Maranhao,apr,4,1/1/99
2000,Maranhao,apr,6,1/1/00
2001,Maranhao,apr,2,1/1/01
2002,Maranhao,apr,28,1/1/02
2003,Maranhao,apr,79,1/1/03
2004,Maranhao,apr,44,1/1/04
2005,Maranhao,apr,43,1/1/05
2006,Maranhao,apr,9,1/1/06
2007,Maranhao,apr,5,1/1/07
2008,Maranhao,apr,26,1/1/08
2009,Maranhao,apr,14,1/1/09
2010,Maranhao,apr,128,1/1/10
2011,Maranhao,apr,37,1/1/11
2012,Maranhao,apr,97,1/1/12
2013,Maranhao,apr,62,1/1/13
2014,Maranhao,apr,78,1/1/14
2015,Maranhao,apr,119,1/1/15
2016,Maranhao,apr,113,1/1/16
2017,Maranhao,apr,91,1/1/17
1998,Maranhao,may,0,1/1/98
1999,Maranhao,may,3,1/1/99
2000,Maranhao,may,28,1/1/00
2001,Maranhao,may,21,1/1/01
2002,Maranhao,may,71,1/1/02
2003,Maranhao,may,60,1/1/03
2004,Maranhao,may,145,1/1/04
2005,Maranhao,may,74,1/1/05
2006,Maranhao,may,5,1/1/06
2007,Maranhao,may,73,1/1/07
2008,Maranhao,may,26,1/1/08
2009,Maranhao,may,19,1/1/09
2010,Maranhao,may,273,1/1/10
2011,Maranhao,may,73,1/1/11
2012,Maranhao,may,286,1/1/12
2013,Maranhao,may,100,1/1/13
2014,Maranhao,may,148,1/1/14
2015,Maranhao,may,194,1/1/15
2016,Maranhao,may,206,1/1/16
2017,Maranhao,may,142,1/1/17
1998,Maranhao,jun,78,1/1/98
1999,Maranhao,jun,32,1/1/99
2000,Maranhao,jun,94,1/1/00
2001,Maranhao,jun,100,1/1/01
2002,Maranhao,jun,230,1/1/02
2003,Maranhao,jun,338,1/1/03
2004,Maranhao,jun,706,1/1/04
2005,Maranhao,jun,529,1/1/05
2006,Maranhao,jun,131,1/1/06
2007,Maranhao,jun,515,1/1/07
2008,Maranhao,jun,235,1/1/08
2009,Maranhao,jun,279,1/1/09
2010,Maranhao,jun,494,1/1/10
2011,Maranhao,jun,602,1/1/11
2012,Maranhao,jun,915,1/1/12
2013,Maranhao,jun,498,1/1/13
2014,Maranhao,jun,812,1/1/14
2015,Maranhao,jun,887,1/1/15
2016,Maranhao,jun,709,1/1/16
2017,Maranhao,jun,885,1/1/17
1998,Maranhao,jul,274,1/1/98
1999,Maranhao,jul,258,1/1/99
2000,Maranhao,jul,233,1/1/00
2001,Maranhao,jul,549,1/1/01
2002,Maranhao,jul,1.271,1/1/02
2003,Maranhao,jul,1.103,1/1/03
2004,Maranhao,jul,1.366,1/1/04
2005,Maranhao,jul,1.152,1/1/05
2006,Maranhao,jul,512,1/1/06
2007,Maranhao,jul,1.205,1/1/07
2008,Maranhao,jul,502,1/1/08
2009,Maranhao,jul,972,1/1/09
2010,Maranhao,jul,2.323,1/1/10
2011,Maranhao,jul,1.024,1/1/11
2012,Maranhao,jul,3.548,1/1/12
2013,Maranhao,jul,1.111,1/1/13
2014,Maranhao,jul,2.068,1/1/14
2015,Maranhao,jul,1.642,1/1/15
2016,Maranhao,jul,2.096,1/1/16
2017,Maranhao,jul,2.521,1/1/17
1998,Maranhao,aug,1.176,1/1/98
1999,Maranhao,aug,895,1/1/99
2000,Maranhao,aug,839,1/1/00
2001,Maranhao,aug,2.037,1/1/01
2002,Maranhao,aug,3.481,1/1/02
2003,Maranhao,aug,2.023,1/1/03
2004,Maranhao,aug,1.889,1/1/04
2005,Maranhao,aug,2.239,1/1/05
2006,Maranhao,aug,1.382,1/1/06
2007,Maranhao,aug,8.409,1/1/07
2008,Maranhao,aug,713,1/1/08
2009,Maranhao,aug,1.766,1/1/09
2010,Maranhao,aug,6.353,1/1/10
2011,Maranhao,aug,2.138,1/1/11
2012,Maranhao,aug,10.395,1/1/12
2013,Maranhao,aug,2.098,1/1/13
2014,Maranhao,aug,5.592,1/1/14
2015,Maranhao,aug,5.428,1/1/15
2016,Maranhao,aug,3.723,1/1/16
2017,Maranhao,aug,3.875,1/1/17
1998,Maranhao,sep,3.935,1/1/98
1999,Maranhao,sep,1.739,1/1/99
2000,Maranhao,sep,1.365,1/1/00
2001,Maranhao,sep,4.618,1/1/01
2002,Maranhao,sep,3.181,1/1/02
2003,Maranhao,sep,5.878,1/1/03
2004,Maranhao,sep,4.673,1/1/04
2005,Maranhao,sep,6.292,1/1/05
2006,Maranhao,sep,2.907,1/1/06
2007,Maranhao,sep,8.524,1/1/07
2008,Maranhao,sep,2.761,1/1/08
2009,Maranhao,sep,2.404,1/1/09
2010,Maranhao,sep,9.795,1/1/10
2011,Maranhao,sep,4.632,1/1/11
2012,Maranhao,sep,7.626,1/1/12
2013,Maranhao,sep,3.88,1/1/13
2014,Maranhao,sep,4.373,1/1/14
2015,Maranhao,sep,6.423,1/1/15
2016,Maranhao,sep,3.166,1/1/16
2017,Maranhao,sep,14.825,1/1/17
1998,Maranhao,oct,5.137,1/1/98
1999,Maranhao,oct,3.208,1/1/99
2000,Maranhao,oct,2.654,1/1/00
2001,Maranhao,oct,6.661,1/1/01
2002,Maranhao,oct,5.182,1/1/02
2003,Maranhao,oct,6.085,1/1/03
2004,Maranhao,oct,3.604,1/1/04
