year,state,month,number,date
2013,Acre,aug,679,1/1/13
2014,Acre,aug,1.1,1/1/14
2015,Acre,aug,1.397,1/1/15
2016,Acre,aug,2.188,1/1/16
2017,Acre,aug,1.493,1/1/17
1998,Acre,sep,509,1/1/98
1999,Acre,sep,209,1/1/99
2000,Acre,sep,265,1/1/00
2001,Acre,sep,290,1/1/01
2002,Acre,sep,1.949,1/1/02
2003,Acre,sep,3.942,1/1/03
2004,Acre,sep,1.978,1/1/04
2005,Acre,sep,4.253,1/1/05
2006,Acre,sep,2.37,1/1/06
2007,Acre,sep,2.08,1/1/07
2008,Acre,sep,1.666,1/1/08
2009,Acre,sep,1.265,1/1/09
2010,Acre,sep,2.531,1/1/10
2011,Acre,sep,1.204,1/1/11
2012,Acre,sep,1.996,1/1/12
2013,Acre,sep,2.136,1/1/13
2014,Acre,sep,2.175,1/1/14
2015,Acre,sep,2.928,1/1/15
2016,Acre,sep,3.586,1/1/16
2017,Acre,sep,3.429,1/1/17
1998,Acre,oct,44,1/1/98
1999,Acre,oct,60,1/1/99
2000,Acre,oct,18,1/1/00
2001,Acre,oct,137,1/1/01
2002,Acre,oct,687,1/1/02
2003,Acre,oct,740,1/1/03
2004,Acre,oct,461,1/1/04
2005,Acre,oct,547,1/1/05
2006,Acre,oct,316,1/1/06
2007,Acre,oct,203,1/1/07
2008,Acre,oct,652,1/1/08
2009,Acre,oct,565,1/1/09
2010,Acre,oct,292,1/1/10
2011,Acre,oct,97,1/1/11
2012,Acre,oct,348,1/1/12
2013,Acre,oct,258,1/1/13
2014,Acre,oct,406,1/1/14
2015,Acre,oct,905,1/1/15
2016,Acre,oct,509,1/1/16
2017,Acre,oct,1.508,1/1/17
1998,Acre,nov,0,1/1/98
1999,Acre,nov,0,1/1/99
2000,Acre,nov,0,1/1/00
2001,Acre,nov,1,1/1/01
2002,Acre,nov,86,1/1/02
2003,Acre,nov,15,1/1/03
2004,Acre,nov,10,1/1/04
2005,Acre,nov,14,1/1/05
2006,Acre,nov,18,1/1/06
2007,Acre,nov,7,1/1/07
2008,Acre,nov,4,1/1/08
2009,Acre,nov,33,1/1/09
2010,Acre,nov,39,1/1/10
2011,Acre,nov,74,1/1/11
2012,Acre,nov,13,1/1/12
2013,Acre,nov,79,1/1/13
2014,Acre,nov,56,1/1/14
2015,Acre,nov,115,1/1/15
2016,Acre,nov,46,1/1/16
2017,Acre,nov,98,1/1/17
1998,Acre,dec,7,1/1/98
1999,Acre,dec,0,1/1/99
2000,Acre,dec,0,1/1/00
2001,Acre,dec,0,1/1/01
2002,Acre,dec,1,1/1/02
2003,Acre,dec,1,1/1/03
2004,Acre,dec,7,1/1/04
2005,Acre,dec,2,1/1/05
2006,Acre,dec,0,1/1/06
2007,Acre,dec,0,1/1/07
2008,Acre,dec,0,1/1/08
2009,Acre,dec,1,1/1/09
2010,Acre,dec,0,1/1/10
2011,Acre,dec,4,1/1/11
2012,Acre,dec,1,1/1/12
2013,Acre,dec,3,1/1/13
2014,Acre,dec,6,1/1/14
2015,Acre,dec,8,1/1/15
2016,Acre,dec,6,1/1/16
1998,Alagoas,jan,0,1/1/98
1999,Alagoas,jan,58,1/1/99
2000,Alagoas,jan,11,1/1/00
2001,Alagoas,jan,5,1/1/01
2002,Alagoas,jan,12,1/1/02
2003,Alagoas,jan,150,1/1/03
2004,Alagoas,jan,9,1/1/04
2005,Alagoas,jan,83,1/1/05
2006,Alagoas,jan,29,1/1/06
2007,Alagoas,jan,33,1/1/07
2008,Alagoas,jan,55,1/1/08
2009,Alagoas,jan,104,1/1/09
2010,Alagoas,jan,23,1/1/10
2011,Alagoas,jan,41,1/1/11
2012,Alagoas,jan,36,1/1/12
2013,Alagoas,jan,49,1/1/13
2014,Alagoas,jan,54,1/1/14
2015,Alagoas,jan,81,1/1/15
2016,Alagoas,jan,24,1/1/16
2017,Alagoas,jan,38,1/1/17
2017,Alagoas,jan,38,1/1/17
1998,Alagoas,feb,0,1/1/98
1999,Alagoas,feb,20,1/1/99
2000,Alagoas,feb,16,1/1/00
2001,Alagoas,feb,4,1/1/01
2002,Alagoas,feb,15,1/1/02
2003,Alagoas,feb,33,1/1/03
2004,Alagoas,feb,7,1/1/04
2005,Alagoas,feb,31,1/1/05
2006,Alagoas,feb,14,1/1/06
2007,Alagoas,feb,28,1/1/07
2008,Alagoas,feb,74,1/1/08
2009,Alagoas,feb,32,1/1/09
2010,Alagoas,feb,26,1/1/10
2011,Alagoas,feb,33,1/1/11
2012,Alagoas,feb,41,1/1/12
2013,Alagoas,feb,19,1/1/13
2014,Alagoas,feb,29,1/1/14
2015,Alagoas,feb,46,1/1/15
2016,Alagoas,feb,14,1/1/16
2017,Alagoas,feb,21,1/1/17
1998,Alagoas,mar,0,1/1/98
1999,Alagoas,mar,52,1/1/99
2000,Alagoas,mar,32,1/1/00
2001,Alagoas,mar,0,1/1/01
2002,Alagoas,mar,27,1/1/02
2003,Alagoas,mar,15,1/1/03
2004,Alagoas,mar,16,1/1/04
2005,Alagoas,mar,35,1/1/05
2006,Alagoas,mar,37,1/1/06
2007,Alagoas,mar,7,1/1/07
2008,Alagoas,mar,31,1/1/08
2009,Alagoas,mar,31,1/1/09
2010,Alagoas,mar,70,1/1/10
2011,Alagoas,mar,34,1/1/11
2012,Alagoas,mar,44,1/1/12
2013,Alagoas,mar,31,1/1/13
2014,Alagoas,mar,28,1/1/14
2015,Alagoas,mar,32,1/1/15
2016,Alagoas,mar,9,1/1/16
2017,Alagoas,mar,23,1/1/17
1998,Alagoas,apr,0,1/1/98
1999,Alagoas,apr,4,1/1/99
2000,Alagoas,apr,20,1/1/00
2001,Alagoas,apr,0,1/1/01
2002,Alagoas,apr,6,1/1/02
2003,Alagoas,apr,20,1/1/03
2004,Alagoas,apr,6,1/1/04
2005,Alagoas,apr,1,1/1/05
2006,Alagoas,apr,2,1/1/06
2007,Alagoas,apr,1,1/1/07
2008,Alagoas,apr,18,1/1/08
2009,Alagoas,apr,5,1/1/09
2010,Alagoas,apr,3,1/1/10
2011,Alagoas,apr,17,1/1/11
2012,Alagoas,apr,18,1/1/12
2013,Alagoas,apr,25,1/1/13
2014,Alagoas,apr,16,1/1/14
2015,Alagoas,apr,63,1/1/15
2016,Alagoas,apr,13,1/1/16
2017,Alagoas,apr,7,1/1/17
1998,Alagoas,may,0,1/1/98
1999,Alagoas,may,1,1/1/99
2000,Alagoas,may,1,1/1/00
2001,Alagoas,may,2,1/1/01
2002,Alagoas,may,1,1/1/02
2003,Alagoas,may,1,1/1/03
2004,Alagoas,may,3,1/1/04
2005,Alagoas,may,0,1/1/05
2006,Alagoas,may,0,1/1/06
2007,Alagoas,may,0,1/1/07
2008,Alagoas,may,0,1/1/08
2009,Alagoas,may,0,1/1/09
2010,Alagoas,may,0,1/1/10
2011,Alagoas,may,0,1/1/11
2012,Alagoas,may,21,1/1/12
2013,Alagoas,may,2,1/1/13
2014,Alagoas,may,1,1/1/14
2015,Alagoas,may,18,1/1/15
2016,Alagoas,may,4,1/1/16
2017,Alagoas,may,1,1/1/17
1998,Alagoas,jun,0,1/1/98
1999,Alagoas,jun,0,1/1/99
2000,Alagoas,jun,0,1/1/00
2001,Alagoas,jun,2,1/1/01
2002,Alagoas,jun,0,1/1/02
2003,Alagoas,jun,0,1/1/03
2004,Alagoas,jun,0,1/1/04
2005,Alagoas,jun,0,1/1/05
2006,Alagoas,jun,0,1/1/06
2007,Alagoas,jun,0,1/1/07
2008,Alagoas,jun,0,1/1/08
2009,Alagoas,jun,0,1/1/09
2010,Alagoas,jun,0,1/1/10
2011,Alagoas,jun,2,1/1/11
2012,Alagoas,jun,4,1/1/12
2013,Alagoas,jun,1,1/1/13
2014,Alagoas,jun,2,1/1/14
2015,Alagoas,jun,2,1/1/15
2016,Alagoas,jun,5,1/1/16
2017,Alagoas,jun,2,1/1/17
1998,Alagoas,jul,0,1/1/98
1999,Alagoas,jul,0,1/1/99
2000,Alagoas,jul,0,1/1/00
2001,Alagoas,jul,0,1/1/01
2002,Alagoas,jul,5,1/1/02
2003,Alagoas,jul,0,1/1/03
2004,Alagoas,jul,0,1/1/04
2005,Alagoas,jul,0,1/1/05
2006,Alagoas,jul,0,1/1/06
2007,Alagoas,jul,0,1/1/07
2008,Alagoas,jul,0,1/1/08
2009,Alagoas,jul,0,1/1/09
2010,Alagoas,jul,2,1/1/10
2011,Alagoas,jul,0,1/1/11
2012,Alagoas,jul,0,1/1/12
2013,Alagoas,jul,0,1/1/13
2014,Alagoas,jul,1,1/1/14
2015,Alagoas,jul,0,1/1/15
2016,Alagoas,jul,3,1/1/16
2017,Alagoas,jul,0,1/1/17
1998,Alagoas,aug,1,1/1/98
1999,Alagoas,aug,3,1/1/99
2000,Alagoas,aug,4,1/1/00
2001,Alagoas,aug,1,1/1/01
2002,Alagoas,aug,3,1/1/02
2003,Alagoas,aug,2,1/1/03
2004,Alagoas,aug,2,1/1/04
